Mauritania,MRT,4.364610459
Mauritius,MUS,633.9579369
Malawi,MWI,205.5267395
Malaysia,MYS,101.0500472
North America,NAC,20.40419948
Namibia,NAM,3.023355075
New Caledonia,NCL,14.904814
Niger,NER,19.2102621
Nigeria,NGA,228.737667
Nicaragua,NIC,56.14006149
Netherlands,NLD,518.013068
Norway,NOR,14.76721523
Nepal,NPL,204.7340565
Nauru,NRU,615.75
New Zealand,NZL,19.33158634
OECD members,OED,38.58846365
Oman,OMN,14.67980291
Other small states,OSS,15.93942309
Pakistan,PAK,294.7238753
Panama,PAN,57.89156107
Peru,PER,26.01934063
Philippines,PHL,376.2651407
Palau,PLW,39.06956522
Papua New Guinea,PNG,21.52903767
Poland,POL,123.8005749
Pre-demographic dividend,PRE,48.46269902
Puerto Rico,PRI,369.9613303
"Korea, Dem. People's Rep.",PRK,214.8282286
Portugal,PRT,112.406676
Paraguay,PRY,16.65918701
West Bank and Gaza,PSE,797.8852159
Pacific island small states,PSS,40.01276695
Post-demographic dividend,PST,35.64889701
French Polynesia,PYF,86.98357822
Qatar,QAT,240.2423847
Romania,ROU,83.73283206
Russian Federation,RUS,8.797354989
Rwanda,RWA,532.8886096
South Asia,SAS,394.6507887
Saudi Arabia,SAU,16.7452549
Sudan,SDN,23.79041006
Senegal,SEN,85.36913728
Singapore,SGP,7918.951253
Solomon Islands,SLB,24.69421222
Sierra Leone,SLE,114.0755057
El Salvador,SLV,303.7032336
San Marino,SMR,566.7833333
Somalia,SOM,26.36053177
Serbia,SRB,82.04454751
Sub-Saharan Africa (excluding high income),SSA,48.18686459
South Sudan,SSD,16.78386372
Sub-Saharan Africa,SSF,48.19005812
Small states,SST,16.95360589
Sao Tome and Principe,STP,227.7510417
Suriname,SUR,3.891442308
Slovak Republic,SVK,113.5363353
Slovenia,SVN,104.4088814
Sweden,SWE,25.42072337
Eswatini,SWZ,68.64273256
Sint Maarten (Dutch part),SXM,1244.411765
Seychelles,SYC,214.0478261
Syrian Arab Republic,SYR,113.1220117
Turks and Caicos Islands,TCA,46.60631579
Chad,TCD,13.21847284
East Asia & Pacific (IDA & IBRD countries),TEA,131.7600186
Europe & Central Asia (IDA & IBRD countries),TEC,20.10081034
Togo,TGO,155.2230189
Thailand,THA,139.9042142
Tajikistan,TJK,68.76004755
Turkmenistan,TKM,13.30078522
Latin America & the Caribbean (IDA & IBRD countries),TLA,31.87315673
Timor-Leste,TLS,87.42400807
Middle East & North Africa (IDA & IBRD countries),TMN,47.1682934
Tonga,TON,146.1861111
South Asia (IDA & IBRD),TSA,394.6507887
Sub-Saharan Africa (IDA & IBRD countries),TSS,48.19005812
Trinidad and Tobago,TTO,295.9350877
Tunisia,TUN,78.28091529
Turkiye,TUR,109.3193197
Tuvalu,TUV,368.9666667
Tanzania,TZA,69.65965003
Uganda,UGA,221.447292
Ukraine,UKR,76.16853469
Upper middle income,UMC,50.43319082
Uruguay,URY,19.592538
United States,USA,36.24098511
Uzbekistan,UZB,77.68535119
St. Vincent and the Grenadines,VCT,268.2871795
"Venezuela, RB",VEN,32.30026983
British Virgin Islands,VGB,206.0666667
Virgin Islands (U.S.),VIR,303.6857143
Viet Nam,VNM,308.3591021
Vanuatu,VUT,25.56890894
World,WLD,60.18934359
Samoa,WSM,77.31258993
Kosovo,XKX,
"Yemen, Rep.",YEM,61.1475008
South Africa,ZAF,48.47284785
Zambia,ZMB,25.46135272
Zimbabwe,ZWE,40.50579294
