"country","hdicode","hdi_2020","Mobility_SiteName","date","retail_and_recreation_percent_change_from_baseline","grocery_and_pharmacy_percent_change_from_baseline","parks_percent_change_from_baseline","transit_stations_percent_change_from_baseline","workplaces_percent_change_from_baseline","residential_percent_change_from_baseline","PM_SiteName","a_mean","sd"
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-27,NA,NA,NA,NA,NA,NA,"Kabul",17.29166667,6.570548033
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-28,NA,NA,NA,NA,NA,NA,"Kabul",20.875,7.338478103
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-29,NA,NA,NA,NA,NA,NA,"Kabul",23.5,13.06838202
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-30,NA,NA,NA,NA,NA,NA,"Kabul",17.125,6.333571697
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-05-31,NA,NA,NA,NA,NA,NA,"Kabul",14.875,5.169412548
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-06-01,NA,NA,NA,NA,NA,NA,"Kabul",18.31578947,8.386845729
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-03,-23,5,-2,-16,-6,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-04,-17,12,-10,-10,-24,11,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-05,-15,4,-12,-8,-28,12,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-06,-16,20,-12,-6,-26,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-07,-11,12,-8,-6,-28,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-08,-16,13,-8,-11,-27,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-09,-17,8,-6,-10,-23,11,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-10,-15,14,3,-9,-5,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-11,-12,18,-3,-4,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-12,-11,16,-12,-5,-24,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-13,-14,26,-8,-3,-20,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-14,-13,16,-6,-3,-21,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-15,-10,16,-6,-7,-20,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-16,-13,16,-9,-3,-20,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-17,-9,19,7,-3,-2,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-18,-9,24,-6,-2,-15,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-19,-7,25,-6,1,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-20,-5,28,-10,-1,-16,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-21,-8,19,-2,-3,-18,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-22,-6,24,-5,-7,-19,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-23,-10,19,-3,-2,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-24,-5,29,6,-6,1,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-25,-8,30,4,-4,-14,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-26,-5,29,1,1,-18,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-27,-6,34,-2,-3,-18,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-28,-3,30,6,1,-20,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-29,-2,36,2,2,-25,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-30,-10,25,-10,-4,-52,13,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-07-31,-36,-7,-11,-20,-26,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-01,-44,-32,-16,-27,-71,14,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-02,-37,-28,-17,-25,-72,13,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-03,-21,-1,-3,-15,-40,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-04,-14,9,-2,-7,-26,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-05,-8,13,-5,-6,-22,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-06,-9,15,-1,-5,-19,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-07,-12,10,-1,-8,-5,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-08,-23,-10,-20,-16,-46,13,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-09,-16,-3,-22,-9,-45,13,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-10,7,37,11,8,-17,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-11,8,27,9,7,-16,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-12,7,28,7,5,-16,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-13,2,21,5,4,-13,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-14,1,20,14,4,-4,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-15,6,29,9,11,-10,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-16,7,25,7,7,-15,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-17,NA,NA,NA,11,-13,0,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-18,NA,NA,NA,-8,-55,10,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-19,NA,NA,NA,4,-13,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-20,NA,NA,NA,6,-8,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-21,NA,NA,NA,6,-2,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-22,NA,NA,NA,8,-5,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-23,NA,NA,NA,10,-10,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-24,NA,NA,NA,8,-9,0,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-25,NA,NA,NA,9,-9,0,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-26,NA,NA,NA,4,-9,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-27,NA,NA,NA,1,-7,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-28,NA,NA,NA,5,0,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-29,NA,NA,NA,-9,-18,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-30,NA,NA,-27,-23,-66,19,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-08-31,NA,NA,NA,12,-5,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-01,NA,NA,NA,15,-6,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-02,NA,NA,NA,7,-6,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-03,NA,NA,NA,4,-5,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-04,NA,NA,NA,3,-5,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-05,NA,NA,NA,9,-5,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-06,NA,NA,NA,12,-6,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-07,NA,NA,NA,15,-5,0,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-08,NA,NA,NA,-9,-58,15,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-09,NA,NA,NA,7,-4,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-10,NA,NA,NA,8,-1,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-11,31,55,29,-6,-4,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-12,36,22,31,-3,-1,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-13,33,55,18,-4,-6,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-14,35,69,27,-3,2,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-15,39,61,34,2,2,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-16,43,65,32,-3,-1,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-17,29,50,27,5,2,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-18,26,40,28,3,-4,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-19,37,19,35,7,2,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-20,37,52,21,7,0,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-21,36,60,28,8,-1,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-22,37,48,25,15,-1,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-23,28,46,24,17,-3,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-24,23,46,18,14,0,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-25,17,38,19,11,-7,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-26,26,7,22,15,1,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-27,30,45,17,22,-1,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-28,25,55,18,20,2,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-29,26,46,23,20,-1,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-09-30,24,48,20,16,-5,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-01,21,37,20,17,-1,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-02,19,54,14,12,-12,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-03,26,18,21,12,-1,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-04,32,60,19,14,-4,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-05,24,61,14,17,-1,0,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-06,24,54,21,16,-1,1,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-07,28,53,12,10,-1,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-08,25,55,13,15,4,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-09,25,49,13,5,-9,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-10,28,15,16,5,3,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-11,34,53,16,11,1,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-12,33,64,20,16,2,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-13,33,56,16,15,1,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-14,30,58,15,10,1,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-15,29,61,14,16,6,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-16,26,58,13,10,-7,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-17,28,17,10,11,4,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-18,29,53,8,13,2,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-19,27,64,12,15,3,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-20,23,51,11,15,0,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-21,25,56,14,8,0,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-22,29,68,23,17,4,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-23,26,74,20,11,-8,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-24,29,32,31,12,3,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-25,35,68,24,19,0,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-26,30,79,23,15,4,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-27,32,70,19,16,2,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-28,31,68,20,17,-1,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-29,-4,19,-12,2,-52,14,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-30,17,51,8,16,-10,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-10-31,23,12,11,12,0,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-01,28,58,11,15,0,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-02,28,67,3,22,3,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-03,22,56,11,18,-2,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-04,25,55,12,15,-1,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-05,23,56,20,16,2,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-06,11,47,3,0,-12,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-07,23,13,13,7,4,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-08,25,56,6,12,2,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-09,23,63,3,12,5,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-10,25,56,13,11,3,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-11,20,54,13,9,3,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-12,23,55,16,13,4,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-13,16,53,5,10,-10,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-14,18,4,20,-4,1,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-15,23,49,-1,6,1,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-16,31,71,20,21,6,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-17,30,59,12,17,5,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-18,29,59,8,10,4,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-19,-3,21,-15,2,-43,13,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-20,12,51,7,6,-9,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-21,21,12,7,4,5,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-22,34,64,14,15,6,2,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-23,20,50,5,10,5,3,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-24,24,50,15,10,5,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-25,31,62,10,13,7,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-26,31,67,16,20,8,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-27,23,60,8,11,-5,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-28,30,21,16,13,4,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-29,32,67,11,18,4,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-11-30,27,69,6,17,6,4,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-01,28,67,17,18,4,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-02,29,61,15,12,4,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-03,26,58,15,17,9,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-04,28,67,13,12,1,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-05,34,20,22,13,7,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-06,34,68,18,16,5,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-07,25,67,19,15,6,5,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-08,28,63,14,16,7,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-09,31,62,13,17,2,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-10,22,57,18,23,5,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-11,19,67,15,23,-6,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-12,29,18,20,22,3,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-13,31,58,18,27,1,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-14,27,76,24,26,4,6,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-15,25,54,31,26,3,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-16,23,53,19,17,1,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-17,15,52,17,22,2,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-18,18,56,16,15,-7,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-19,27,20,24,20,3,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-20,30,59,28,27,2,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-21,26,63,18,26,5,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-22,22,48,15,25,3,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-23,25,54,12,20,2,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-24,20,50,16,23,4,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-25,14,55,11,20,-4,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-26,25,16,17,22,7,8,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-27,22,45,8,22,1,11,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-28,21,63,13,26,5,7,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-29,19,43,14,21,2,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-30,16,51,11,17,0,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-12-31,14,48,10,17,4,9,NA,NA,NA
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-11-25,NA,NA,NA,NA,NA,NA,"Kabul",105.6666667,74.79459796
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-11-26,NA,NA,NA,NA,NA,NA,"Kabul",137.5833333,85.36617631
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-11-27,NA,NA,NA,NA,NA,NA,"Kabul",107.6666667,64.45535473
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-11-28,NA,NA,NA,NA,NA,NA,"Kabul",99.29166667,73.67347418
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-11-29,NA,NA,NA,NA,NA,NA,"Kabul",173.8333333,162.0820154
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-11-30,NA,NA,NA,NA,NA,NA,"Kabul",236.8333333,139.3670994
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-01,NA,NA,NA,NA,NA,NA,"Kabul",303.25,202.3606875
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-02,NA,NA,NA,NA,NA,NA,"Kabul",285.3333333,246.863572
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-03,NA,NA,NA,NA,NA,NA,"Kabul",292.7916667,196.8387067
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-04,NA,NA,NA,NA,NA,NA,"Kabul",311.6666667,179.7492618
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-05,NA,NA,NA,NA,NA,NA,"Kabul",246.3809524,195.8467452
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-06,NA,NA,NA,NA,NA,NA,"Kabul",218.5,139.7868678
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-07,NA,NA,NA,NA,NA,NA,"Kabul",175.1052632,103.1072229
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-08,NA,NA,NA,NA,NA,NA,"Kabul",218,130.7742828
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-09,NA,NA,NA,NA,NA,NA,"Kabul",259.2916667,140.358076
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-10,NA,NA,NA,NA,NA,NA,"Kabul",94.83333333,78.17742734
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-11,NA,NA,NA,NA,NA,NA,"Kabul",41.875,24.9805359
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-12,NA,NA,NA,NA,NA,NA,"Kabul",83.29166667,51.88656454
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-13,NA,NA,NA,NA,NA,NA,"Kabul",71.70833333,101.6889884
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-14,NA,NA,NA,NA,NA,NA,"Kabul",92.875,80.76552886
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-15,NA,NA,NA,NA,NA,NA,"Kabul",202.7916667,152.0019963
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-16,NA,NA,NA,NA,NA,NA,"Kabul",239.2173913,151.9473463
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-17,NA,NA,NA,NA,NA,NA,"Kabul",172.3888889,133.4775323
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-19,NA,NA,NA,NA,NA,NA,"Kabul",204,95.87178939
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-20,NA,NA,NA,NA,NA,NA,"Kabul",160.5,136.75462
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-21,NA,NA,NA,NA,NA,NA,"Kabul",165.2608696,141.4535637
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-22,NA,NA,NA,NA,NA,NA,"Kabul",173.4583333,141.9519144
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-23,NA,NA,NA,NA,NA,NA,"Kabul",179.5555556,139.5809789
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-24,NA,NA,NA,NA,NA,NA,"Kabul",205.2222222,128.9963773
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-25,NA,NA,NA,NA,NA,NA,"Kabul",189.4166667,128.2795577
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-26,NA,NA,NA,NA,NA,NA,"Kabul",170.25,96.10931276
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-27,NA,NA,NA,NA,NA,NA,"Kabul",256.9090909,132.8640225
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-28,NA,NA,NA,NA,NA,NA,"Kabul",246.1333333,111.8045914
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-29,NA,NA,NA,NA,NA,NA,"Kabul",180.8461538,93.72285932
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-30,NA,NA,NA,NA,NA,NA,"Kabul",263.5416667,124.1103924
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2019-12-31,NA,NA,NA,NA,NA,NA,"Kabul",74,70.59560277
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-01-01,NA,NA,NA,NA,NA,NA,"Kabul",49.54166667,29.22473516
"Afghanistan","Low",0.483,"Kabul Metropolitan Area",2020-01-02,NA,NA,NA,NA,NA,NA,"Kabul",82.70833333,33.29378995
